,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area,Longitude,Latitude
193,3,2,1,05/01/2018,6,22:33,6,30,4,1,2,0,1,0.050801,51.424197
194,3,1,1,05/01/2018,6,19:00,3,20,1,1,1,0,1,-0.014815,51.576136
195,3,2,1,05/01/2018,6,22:30,6,30,4,1,1,0,1,-0.214454,51.505065
196,3,2,1,05/01/2018,6,23:45,6,30,4,1,1,0,1,-0.315238,51.495585
197,3,2,1,05/01/2018,6,23:34,6,20,4,1,1,0,1,-0.047236,51.425691
198,3,1,1,05/01/2018,6,22:38,6,20,4,1,2,0,1,-0.085738,51.574706
199,3,2,3,06/01/2018,7,00:20,6,20,4,1,1,0,1,-0.325206,51.541949
200,2,3,1,05/01/2018,6,23:09,3,40,4,1,1,0,1,-0.009574,51.517684
201,3,2,3,02/01/2018,3,18:15,2,20,4,5,2,0,1,0.025184,51.544157
202,1,2,2,06/01/2018,7,00:52,6,30,4,1,2,0,1,-0.222689,51.537833
203,3,1,1,05/01/2018,6,22:30,6,30,6,1,1,0,1,0.109439,51.560387
204,2,2,1,03/01/2018,4,20:24,6,30,5,1,1,3,1,-0.266839,51.465024
205,3,3,3,05/01/2018,6,07:50,6,40,1,4,2,7,2,0.198143,51.604714
206,2,1,1,05/01/2018,6,21:52,6,30,4,1,1,0,1,-0.164064,51.425061
207,3,1,1,06/01/2018,7,07:45,6,30,1,1,1,0,1,0.020979,51.393779
208,2,2,1,04/01/2018,5,19:00,6,30,7,9,1,0,1,-0.096718,51.529473
209,3,2,2,05/01/2018,6,20:48,6,30,4,1,2,0,1,-0.116033,51.337249
210,3,2,2,06/01/2018,7,11:14,6,30,1,1,1,0,1,-0.344132,51.548961
211,3,2,1,06/01/2018,7,11:02,6,30,1,1,1,0,1,0.133254,51.582169
212,3,3,1,06/01/2018,7,10:38,6,30,1,1,1,0,2,-0.448086,51.579697
213,3,2,1,06/01/2018,7,11:05,6,30,1,1,2,0,1,-0.165751,51.451167
214,3,1,1,06/01/2018,7,07:30,3,20,1,1,4,0,1,-0.161149,51.572765
215,3,2,1,06/01/2018,7,11:15,6,30,1,1,2,0,1,-0.193365,51.375067
216,3,2,1,05/01/2018,6,16:44,6,30,4,1,1,0,1,-0.272833,51.565469
217,3,2,1,06/01/2018,7,09:26,2,30,1,1,1,0,1,-0.020728,51.572908
218,3,1,1,06/01/2018,7,11:28,6,30,1,1,1,0,1,-0.173622,51.383754
219,3,1,1,05/01/2018,6,19:20,6,30,4,1,1,0,1,-0.109919,51.59713
220,3,2,1,06/01/2018,7,11:51,3,30,5,1,1,0,1,-0.10141,51.617675
221,3,2,1,05/01/2018,6,13:15,6,30,1,1,1,0,1,-0.131249,51.464291
222,3,2,1,01/01/2018,2,02:18,2,30,4,1,1,-1,1,-0.141669,51.494852
223,3,2,1,05/01/2018,6,08:28,3,30,1,1,1,0,1,-0.037363,51.511678
224,3,2,1,05/01/2018,6,03:33,6,30,1,1,1,0,1,-0.222345,51.37623
225,3,2,1,06/01/2018,7,09:36,6,30,1,1,1,0,1,-0.212592,51.563669
226,3,1,1,06/01/2018,7,15:50,6,30,4,1,1,0,1,-0.125953,51.632008
227,3,1,1,06/01/2018,7,16:10,6,30,4,1,1,0,1,-0.113936,51.465183
228,3,2,1,06/01/2018,7,15:45,6,20,1,1,1,0,1,-0.138755,51.548672
229,3,1,1,06/01/2018,7,16:42,3,30,4,1,1,0,1,-0.099921,51.379705
230,3,2,2,06/01/2018,7,14:19,3,30,1,1,1,0,1,-0.354513,51.509091
231,2,1,1,06/01/2018,7,16:20,6,30,4,1,1,0,1,-0.159584,51.625796
232,2,2,1,06/01/2018,7,15:18,6,30,1,1,1,0,1,-0.303731,51.54164
233,3,2,1,03/01/2018,4,18:28,2,30,4,1,1,0,1,-0.230214,51.492534
234,3,2,1,04/01/2018,5,17:08,3,20,4,1,1,0,1,0.106032,51.533471
235,3,1,1,06/01/2018,7,12:50,6,20,1,1,1,0,1,-0.064098,51.523543
236,2,1,1,06/01/2018,7,18:00,3,30,4,1,1,1,1,-0.005884,51.579041
237,3,1,1,06/01/2018,7,15:40,1,30,1,1,1,0,1,-0.150005,51.502448
238,3,2,1,06/01/2018,7,14:05,6,20,1,1,1,0,1,-0.135555,51.535222
239,3,4,3,06/01/2018,7,19:10,3,40,4,1,1,0,1,-0.131328,51.613749
240,3,2,1,06/01/2018,7,16:45,6,20,4,1,1,0,1,-0.141232,51.551589
241,2,2,1,06/01/2018,7,18:05,6,30,4,1,1,0,1,-0.156769,51.434749
242,3,1,1,06/01/2018,7,16:07,6,30,1,1,2,0,1,-0.192486,51.415611
243,3,2,1,06/01/2018,7,18:10,6,30,4,1,1,0,1,0.06362,51.571274
244,3,1,1,06/01/2018,7,18:02,6,30,4,1,1,0,1,-0.072218,51.652
245,3,1,1,06/01/2018,7,17:45,6,20,4,1,1,0,1,-0.105867,51.534836
246,2,1,1,06/01/2018,7,17:24,2,30,4,1,1,0,1,-0.295953,51.599259
247,3,2,1,03/01/2018,4,17:10,6,30,4,9,1,0,1,-0.0336,51.582297
248,3,3,2,06/01/2018,7,19:45,6,30,4,1,1,0,1,-0.231528,51.398941
249,3,2,1,06/01/2018,7,19:30,6,30,4,1,1,0,1,-0.344094,51.474503
250,3,3,2,06/01/2018,7,19:50,3,40,4,1,1,0,1,-0.405082,51.517703
251,3,2,2,06/01/2018,7,17:06,6,30,4,1,1,0,1,0.091604,51.363224
252,3,2,1,06/01/2018,7,21:55,7,30,4,1,1,0,1,-0.04608,51.66146
253,3,1,1,06/01/2018,7,22:09,6,30,4,1,1,0,1,-0.425014,51.52067
254,3,3,1,05/01/2018,6,13:50,6,30,1,1,1,0,1,-0.03521,51.524861
255,3,2,1,06/01/2018,7,21:45,9,40,4,1,1,0,1,-0.059797,51.590826
256,3,1,1,07/01/2018,1,00:15,6,20,4,1,1,0,1,-0.108143,51.566887
257,2,2,2,07/01/2018,1,00:10,6,30,4,9,2,0,1,-0.19814,51.597079
258,3,2,1,06/01/2018,7,22:05,6,30,4,1,1,0,1,-0.274873,51.606864
259,3,3,1,07/01/2018,1,00:15,3,50,4,1,1,0,2,0.010453,51.596028
260,3,2,1,06/01/2018,7,22:00,6,30,4,1,1,0,1,-0.122397,51.409833
261,3,3,2,06/01/2018,7,11:30,3,30,1,1,1,0,1,-0.318278,51.581236
262,3,1,1,07/01/2018,1,09:28,6,30,1,1,1,0,1,-0.194143,51.37355
263,2,2,1,07/01/2018,1,10:20,3,30,1,1,1,0,1,-0.473039,51.511234
264,3,2,2,07/01/2018,1,12:02,1,30,1,1,1,0,1,-0.294933,51.530092
265,3,2,1,07/01/2018,1,09:44,6,20,1,1,1,0,1,-0.362265,51.534019
266,3,1,1,07/01/2018,1,08:48,6,20,1,1,1,0,1,-0.147072,51.514362
267,3,2,1,07/01/2018,1,10:10,3,30,1,1,1,0,1,-0.077848,51.525657
268,3,2,1,07/01/2018,1,10:30,6,30,1,1,1,0,1,-0.114606,51.427963
269,3,2,1,07/01/2018,1,01:45,3,30,4,1,1,0,1,-0.270863,51.545117
270,3,1,1,07/01/2018,1,10:50,6,30,1,1,1,0,1,-0.146917,51.514629
271,3,1,2,06/01/2018,7,13:30,6,30,1,1,1,0,1,-0.129422,51.459676
272,3,1,1,07/01/2018,1,13:05,6,30,1,1,1,0,1,-0.117819,51.391774
273,3,2,1,07/01/2018,1,13:15,6,30,1,1,1,0,1,-0.11709,51.472518
274,3,2,1,07/01/2018,1,12:50,6,30,1,1,1,0,1,-0.101901,51.460312
275,3,2,1,07/01/2018,1,12:38,2,30,1,1,1,0,1,-0.203101,51.48232
276,2,2,1,07/01/2018,1,11:36,1,30,1,4,1,0,1,-0.177562,51.519605
277,3,2,2,07/01/2018,1,16:15,6,30,4,1,1,0,1,-0.253073,51.388113
278,3,3,1,07/01/2018,1,18:15,3,30,4,1,1,3,1,-0.303224,51.407825
279,2,1,1,06/01/2018,7,19:40,6,30,4,1,1,0,1,0.152096,51.458442
280,3,2,1,07/01/2018,1,13:30,3,30,1,1,1,0,1,-0.055747,51.54022
281,3,3,1,07/01/2018,1,17:37,3,50,4,1,1,0,1,0.231027,51.583229
